step	train_loss
49	0.06955185532569885
99	0.03711788356304169
149	0.051703304052352905
199	0.029308145865797997
249	0.04929365962743759
299	0.026059025898575783
349	0.04793711006641388
399	0.024384817108511925
449	0.045006901025772095
499	0.022527582943439484
